112 95
-0.622236 3.5922 0
-0.622236 3.6012 0
-0.622236 3.6102 0
-0.622236 3.6192 0
-0.622236 3.6282 0
-0.622236 3.6372 0
-0.622236 3.6462 0
-0.622236 3.6552 0
-0.622236 3.6642 0
-0.622236 3.6732 0
-0.622236 3.6822 0
-0.622236 3.6912 0
-0.622236 3.7002 0
-0.622236 3.7092 0
-0.622236 3.7182 0
-0.622236 3.7272 0
-0.622236 3.7362 0
-0.622236 3.7452 0
-0.622236 3.7542 0
-0.622236 3.7632 0
-0.622236 3.7722 0
-0.622236 3.7812 0
-0.622236 3.7902 0
-0.622236 3.7992 0
-0.622236 3.8082 0
-0.622236 3.8172 0
-0.622236 3.8262 0
-0.622236 3.8352 0
-0.622236 3.8442 0
-0.622236 3.8532 0
-0.622236 3.8622 0
-0.622236 3.8712 0
-0.622236 3.8802 0
-0.622236 3.8892 0
-0.622236 3.8982 0
-0.622236 3.9072 0
-0.622236 3.9162 0
-0.622236 3.9252 0
-0.622236 3.9342 0
-0.622236 3.9432 0
-0.622236 3.9522 0
-0.622236 3.9612 0
-0.622236 3.9702 0
-0.622236 3.9792 1
-0.622236 3.9882 1
-0.622236 3.9972 1
-0.622236 4.0062 1
-0.622236 4.0152 0
-0.622236 4.0242 1
-0.622236 4.0332 0
-0.622236 4.0422 0
-0.622236 4.0512 0
-0.622236 4.0602 0
-0.622236 4.0692 0
-0.622236 4.0782 0
-0.622236 4.0872 0
-0.622236 4.0962 0
-0.622236 4.1052 0
-0.622236 4.1142 0
-0.622236 4.1232 0
-0.622236 4.1322 0
-0.622236 4.1412 0
-0.622236 4.1502 0
-0.622236 4.1592 0
-0.622236 4.1682 0
-0.622236 4.1772 0
-0.622236 4.1862 0
-0.622236 4.1952 0
-0.622236 4.2042 0
-0.622236 4.2132 0
-0.622236 4.2222 0
-0.622236 4.2312 0
-0.622236 4.2402 0
-0.622236 4.2492 0
-0.622236 4.2582 0
-0.622236 4.2672 0
-0.622236 4.2762 0
-0.622236 4.2852 0
-0.622236 4.2942 0
-0.622236 4.3032 0
-0.622236 4.3122 0
-0.622236 4.3212 0
-0.613236 3.4752 0
-0.613236 3.4842 0
-0.613236 3.4932 0
-0.613236 3.5022 0
-0.613236 3.5112 0
-0.613236 3.5202 0
-0.613236 3.5292 0
-0.613236 3.5382 0
-0.613236 3.5472 0
-0.613236 3.5562 0
-0.613236 3.5652 0
-0.613236 3.5742 0
-0.613236 3.5832 0
-0.613236 3.5922 0
-0.613236 3.6012 0
-0.613236 3.6102 0
-0.613236 3.6192 0
-0.613236 3.6282 0
-0.613236 3.6372 0
-0.613236 3.6462 0
-0.613236 3.6552 0
-0.613236 3.6642 0
-0.613236 3.6732 0
-0.613236 3.6822 0
-0.613236 3.6912 0
-0.613236 3.7002 0
-0.613236 3.7092 0
-0.613236 3.7182 0
-0.613236 3.7272 0
-0.613236 3.7362 0
-0.613236 3.7452 0
-0.613236 3.7542 0
-0.613236 3.7632 0
-0.613236 3.7722 0
-0.613236 3.7812 0
-0.613236 3.7902 0
-0.613236 3.7992 0
-0.613236 3.8082 0
-0.613236 3.8172 0
-0.613236 3.8262 0
-0.613236 3.8352 0
-0.613236 3.8442 0
-0.613236 3.8532 0
-0.613236 3.8622 0
-0.613236 3.8712 0
-0.613236 3.8802 0
-0.613236 3.8892 0
-0.613236 3.8982 0
-0.613236 3.9072 0
-0.613236 3.9162 0
-0.613236 3.9252 0
-0.613236 3.9342 0
-0.613236 3.9432 0
-0.613236 3.9522 0
-0.613236 3.9612 0
-0.613236 3.9702 0
-0.613236 3.9792 1
-0.613236 3.9882 1
-0.613236 3.9972 0
-0.613236 4.0062 0
-0.613236 4.0152 1
-0.613236 4.0242 0
-0.613236 4.0332 1
-0.613236 4.0422 0
-0.613236 4.0512 0
-0.613236 4.0602 0
-0.613236 4.0692 0
-0.613236 4.0782 0
-0.613236 4.0872 0
-0.613236 4.0962 0
-0.613236 4.1052 0
-0.613236 4.1142 0
-0.613236 4.1232 0
-0.613236 4.1322 0
-0.613236 4.1412 0
-0.613236 4.1502 0
-0.613236 4.1592 0
-0.613236 4.1682 0
-0.613236 4.1772 0
-0.613236 4.1862 0
-0.613236 4.1952 0
-0.613236 4.2042 0
-0.613236 4.2132 0
-0.613236 4.2222 0
-0.613236 4.2312 0
-0.613236 4.2402 0
-0.613236 4.2492 0
-0.613236 4.2582 0
-0.613236 4.2672 0
-0.613236 4.2762 0
-0.613236 4.2852 0
-0.613236 4.2942 0
-0.613236 4.3032 0
-0.613236 4.3122 0
-0.613236 4.3212 0
-0.604236 3.4752 0
-0.604236 3.4842 0
-0.604236 3.4932 0
-0.604236 3.5022 0
-0.604236 3.5112 0
-0.604236 3.5202 0
-0.604236 3.5292 0
-0.604236 3.5382 0
-0.604236 3.5472 0
-0.604236 3.5562 0
-0.604236 3.5652 0
-0.604236 3.5742 0
-0.604236 3.5832 0
-0.604236 3.5922 0
-0.604236 3.6012 0
-0.604236 3.6102 0
-0.604236 3.6192 0
-0.604236 3.6282 0
-0.604236 3.6372 0
-0.604236 3.6462 0
-0.604236 3.6552 0
-0.604236 3.6642 0
-0.604236 3.6732 0
-0.604236 3.6822 0
-0.604236 3.6912 0
-0.604236 3.7002 0
-0.604236 3.7092 0
-0.604236 3.7182 0
-0.604236 3.7272 0
-0.604236 3.7362 0
-0.604236 3.7452 0
-0.604236 3.7542 0
-0.604236 3.7632 0
-0.604236 3.7722 0
-0.604236 3.7812 0
-0.604236 3.7902 0
-0.604236 3.7992 0
-0.604236 3.8082 0
-0.604236 3.8172 0
-0.604236 3.8262 0
-0.604236 3.8352 0
-0.604236 3.8442 0
-0.604236 3.8532 0
-0.604236 3.8622 0
-0.604236 3.8712 0
-0.604236 3.8802 0
-0.604236 3.8892 0
-0.604236 3.8982 0
-0.604236 3.9072 0
-0.604236 3.9162 0
-0.604236 3.9252 0
-0.604236 3.9342 0
-0.604236 3.9432 0
-0.604236 3.9522 0
-0.604236 3.9612 0
-0.604236 3.9702 1
-0.604236 3.9792 0
-0.604236 3.9882 1
-0.604236 3.9972 0
-0.604236 4.0062 0
-0.604236 4.0152 1
-0.604236 4.0242 1
-0.604236 4.0332 0
-0.604236 4.0422 0
-0.604236 4.0512 0
-0.604236 4.0602 0
-0.604236 4.0692 0
-0.604236 4.0782 0
-0.604236 4.0872 0
-0.604236 4.0962 0
-0.604236 4.1052 0
-0.604236 4.1142 0
-0.604236 4.1232 0
-0.604236 4.1322 0
-0.604236 4.1412 0
-0.604236 4.1502 0
-0.604236 4.1592 0
-0.604236 4.1682 0
-0.604236 4.1772 0
-0.604236 4.1862 0
-0.604236 4.1952 0
-0.604236 4.2042 0
-0.604236 4.2132 0
-0.604236 4.2222 0
-0.604236 4.2312 0
-0.604236 4.2402 0
-0.604236 4.2492 0
-0.604236 4.2582 0
-0.604236 4.2672 0
-0.604236 4.2762 0
-0.604236 4.2852 0
-0.604236 4.2942 0
-0.604236 4.3032 0
-0.604236 4.3122 0
-0.604236 4.3212 0
-0.595236 3.4752 0
-0.595236 3.4842 0
-0.595236 3.4932 0
-0.595236 3.5022 0
-0.595236 3.5112 0
-0.595236 3.5202 0
-0.595236 3.5292 0
-0.595236 3.5382 0
-0.595236 3.5472 0
-0.595236 3.5562 0
-0.595236 3.5652 0
-0.595236 3.5742 0
-0.595236 3.5832 0
-0.595236 3.5922 0
-0.595236 3.6012 0
-0.595236 3.6102 0
-0.595236 3.6192 0
-0.595236 3.6282 0
-0.595236 3.6372 0
-0.595236 3.6462 0
-0.595236 3.6552 0
-0.595236 3.6642 0
-0.595236 3.6732 0
-0.595236 3.6822 0
-0.595236 3.6912 0
-0.595236 3.7002 0
-0.595236 3.7092 0
-0.595236 3.7182 0
-0.595236 3.7272 0
-0.595236 3.7362 0
-0.595236 3.7452 0
-0.595236 3.7542 0
-0.595236 3.7632 0
-0.595236 3.7722 0
-0.595236 3.7812 0
-0.595236 3.7902 0
-0.595236 3.7992 0
-0.595236 3.8082 0
-0.595236 3.8172 0
-0.595236 3.8262 0
-0.595236 3.8352 0
-0.595236 3.8442 0
-0.595236 3.8532 0
-0.595236 3.8622 0
-0.595236 3.8712 0
-0.595236 3.8802 0
-0.595236 3.8892 0
-0.595236 3.8982 0
-0.595236 3.9072 0
-0.595236 3.9162 0
-0.595236 3.9252 0
-0.595236 3.9342 0
-0.595236 3.9432 0
-0.595236 3.9522 0
-0.595236 3.9612 0
-0.595236 3.9702 0
-0.595236 3.9792 1
-0.595236 3.9882 0
-0.595236 3.9972 1
-0.595236 4.0062 0
-0.595236 4.0152 1
-0.595236 4.0242 0
-0.595236 4.0332 0
-0.595236 4.0422 0
-0.595236 4.0512 0
-0.595236 4.0602 0
-0.595236 4.0692 0
-0.595236 4.0782 0
-0.595236 4.0872 0
-0.595236 4.0962 0
-0.595236 4.1052 0
-0.595236 4.1142 0
-0.595236 4.1232 0
-0.595236 4.1322 0
-0.595236 4.1412 0
-0.595236 4.1502 0
-0.595236 4.1592 0
-0.595236 4.1682 0
-0.595236 4.1772 0
-0.595236 4.1862 0
-0.595236 4.1952 0
-0.595236 4.2042 0
-0.595236 4.2132 0
-0.595236 4.2222 0
-0.595236 4.2312 0
-0.595236 4.2402 0
-0.595236 4.2492 0
-0.595236 4.2582 0
-0.595236 4.2672 0
-0.595236 4.2762 0
-0.595236 4.2852 0
-0.595236 4.2942 0
-0.595236 4.3032 0
-0.595236 4.3122 0
-0.595236 4.3212 0
-0.586236 3.4752 0
-0.586236 3.4842 0
-0.586236 3.4932 0
-0.586236 3.5022 0
-0.586236 3.5112 0
-0.586236 3.5202 0
-0.586236 3.5292 0
-0.586236 3.5382 0
-0.586236 3.5472 0
-0.586236 3.5562 0
-0.586236 3.5652 0
-0.586236 3.5742 0
-0.586236 3.5832 0
-0.586236 3.5922 0
-0.586236 3.6012 0
-0.586236 3.6102 0
-0.586236 3.6192 0
-0.586236 3.6282 0
-0.586236 3.6372 0
-0.586236 3.6462 0
-0.586236 3.6552 0
-0.586236 3.6642 0
-0.586236 3.6732 0
-0.586236 3.6822 0
-0.586236 3.6912 0
-0.586236 3.7002 0
-0.586236 3.7092 0
-0.586236 3.7182 0
-0.586236 3.7272 0
-0.586236 3.7362 0
-0.586236 3.7452 0
-0.586236 3.7542 0
-0.586236 3.7632 0
-0.586236 3.7722 0
-0.586236 3.7812 0
-0.586236 3.7902 0
-0.586236 3.7992 0
-0.586236 3.8082 0
-0.586236 3.8172 0
-0.586236 3.8262 0
-0.586236 3.8352 0
-0.586236 3.8442 0
-0.586236 3.8532 0
-0.586236 3.8622 0
-0.586236 3.8712 0
-0.586236 3.8802 0
-0.586236 3.8892 0
-0.586236 3.8982 0
-0.586236 3.9072 0
-0.586236 3.9162 0
-0.586236 3.9252 0
-0.586236 3.9342 0
-0.586236 3.9432 0
-0.586236 3.9522 0
-0.586236 3.9612 0
-0.586236 3.9702 1
-0.586236 3.9792 0
-0.586236 3.9882 1
-0.586236 3.9972 0
-0.586236 4.0062 0
-0.586236 4.0152 1
-0.586236 4.0242 1
-0.586236 4.0332 1
-0.586236 4.0422 0
-0.586236 4.0512 0
-0.586236 4.0602 0
-0.586236 4.0692 0
-0.586236 4.0782 0
-0.586236 4.0872 0
-0.586236 4.0962 0
-0.586236 4.1052 0
-0.586236 4.1142 0
-0.586236 4.1232 0
-0.586236 4.1322 0
-0.586236 4.1412 0
-0.586236 4.1502 0
-0.586236 4.1592 0
-0.586236 4.1682 0
-0.586236 4.1772 0
-0.586236 4.1862 0
-0.586236 4.1952 0
-0.586236 4.2042 0
-0.586236 4.2132 0
-0.586236 4.2222 0
-0.586236 4.2312 0
-0.586236 4.2402 0
-0.586236 4.2492 0
-0.586236 4.2582 0
-0.586236 4.2672 0
-0.586236 4.2762 0
-0.586236 4.2852 0
-0.586236 4.2942 0
-0.586236 4.3032 0
-0.586236 4.3122 0
-0.586236 4.3212 0
-0.577236 3.4752 0
-0.577236 3.4842 0
-0.577236 3.4932 0
-0.577236 3.5022 0
-0.577236 3.5112 0
-0.577236 3.5202 0
-0.577236 3.5292 0
-0.577236 3.5382 0
-0.577236 3.5472 0
-0.577236 3.5562 0
-0.577236 3.5652 0
-0.577236 3.5742 0
-0.577236 3.5832 0
-0.577236 3.5922 0
-0.577236 3.6012 0
-0.577236 3.6102 0
-0.577236 3.6192 0
-0.577236 3.6282 0
-0.577236 3.6372 0
-0.577236 3.6462 0
-0.577236 3.6552 0
-0.577236 3.6642 0
-0.577236 3.6732 0
-0.577236 3.6822 0
-0.577236 3.6912 0
-0.577236 3.7002 0
-0.577236 3.7092 0
-0.577236 3.7182 0
-0.577236 3.7272 0
-0.577236 3.7362 0
-0.577236 3.7452 0
-0.577236 3.7542 0
-0.577236 3.7632 0
-0.577236 3.7722 0
-0.577236 3.7812 0
-0.577236 3.7902 0
-0.577236 3.7992 0
-0.577236 3.8082 0
-0.577236 3.8172 0
-0.577236 3.8262 0
-0.577236 3.8352 0
-0.577236 3.8442 0
-0.577236 3.8532 0
-0.577236 3.8622 0
-0.577236 3.8712 0
-0.577236 3.8802 0
-0.577236 3.8892 0
-0.577236 3.8982 0
-0.577236 3.9072 0
-0.577236 3.9162 0
-0.577236 3.9252 0
-0.577236 3.9342 0
-0.577236 3.9432 0
-0.577236 3.9522 0
-0.577236 3.9612 0
-0.577236 3.9702 0
-0.577236 3.9792 1
-0.577236 3.9882 0
-0.577236 3.9972 0
-0.577236 4.0062 0
-0.577236 4.0152 0
-0.577236 4.0242 0
-0.577236 4.0332 0
-0.577236 4.0422 0
-0.577236 4.0512 0
-0.577236 4.0602 0
-0.577236 4.0692 0
-0.577236 4.0782 0
-0.577236 4.0872 0
-0.577236 4.0962 0
-0.577236 4.1052 0
-0.577236 4.1142 0
-0.577236 4.1232 0
-0.577236 4.1322 0
-0.577236 4.1412 0
-0.577236 4.1502 0
-0.577236 4.1592 0
-0.577236 4.1682 0
-0.577236 4.1772 0
-0.577236 4.1862 0
-0.577236 4.1952 0
-0.577236 4.2042 0
-0.577236 4.2132 0
-0.577236 4.2222 0
-0.577236 4.2312 0
-0.577236 4.2402 0
-0.577236 4.2492 0
-0.577236 4.2582 0
-0.577236 4.2672 0
-0.577236 4.2762 0
-0.577236 4.2852 0
-0.577236 4.2942 0
-0.577236 4.3032 0
-0.577236 4.3122 0
-0.577236 4.3212 0
-0.568236 3.4752 0
-0.568236 3.4842 0
-0.568236 3.4932 0
-0.568236 3.5022 0
-0.568236 3.5112 0
-0.568236 3.5202 0
-0.568236 3.5292 0
-0.568236 3.5382 0
-0.568236 3.5472 0
-0.568236 3.5562 0
-0.568236 3.5652 0
-0.568236 3.5742 0
-0.568236 3.5832 0
-0.568236 3.5922 0
-0.568236 3.6012 0
-0.568236 3.6102 0
-0.568236 3.6192 0
-0.568236 3.6282 0
-0.568236 3.6372 0
-0.568236 3.6462 0
-0.568236 3.6552 0
-0.568236 3.6642 0
-0.568236 3.6732 0
-0.568236 3.6822 0
-0.568236 3.6912 0
-0.568236 3.7002 0
-0.568236 3.7092 0
-0.568236 3.7182 0
-0.568236 3.7272 0
-0.568236 3.7362 0
-0.568236 3.7452 0
-0.568236 3.7542 0
-0.568236 3.7632 0
-0.568236 3.7722 0
-0.568236 3.7812 0
-0.568236 3.7902 0
-0.568236 3.7992 0
-0.568236 3.8082 0
-0.568236 3.8172 0
-0.568236 3.8262 0
-0.568236 3.8352 0
-0.568236 3.8442 0
-0.568236 3.8532 0
-0.568236 3.8622 0
-0.568236 3.8712 0
-0.568236 3.8802 0
-0.568236 3.8892 0
-0.568236 3.8982 0
-0.568236 3.9072 0
-0.568236 3.9162 0
-0.568236 3.9252 0
-0.568236 3.9342 0
-0.568236 3.9432 0
-0.568236 3.9522 0
-0.568236 3.9612 0
-0.568236 3.9702 0
-0.568236 3.9792 0
-0.568236 3.9882 0
-0.568236 3.9972 0
-0.568236 4.0062 0
-0.568236 4.0152 0
-0.568236 4.0242 0
-0.568236 4.0332 0
-0.568236 4.0422 0
-0.568236 4.0512 0
-0.568236 4.0602 0
-0.568236 4.0692 0
-0.568236 4.0782 0
-0.568236 4.0872 0
-0.568236 4.0962 0
-0.568236 4.1052 0
-0.568236 4.1142 0
-0.568236 4.1232 0
-0.568236 4.1322 0
-0.568236 4.1412 0
-0.568236 4.1502 0
-0.568236 4.1592 0
-0.568236 4.1682 0
-0.568236 4.1772 0
-0.568236 4.1862 0
-0.568236 4.1952 0
-0.568236 4.2042 0
-0.568236 4.2132 0
-0.568236 4.2222 0
-0.568236 4.2312 0
-0.568236 4.2402 0
-0.568236 4.2492 0
-0.568236 4.2582 0
-0.568236 4.2672 0
-0.568236 4.2762 0
-0.568236 4.2852 0
-0.568236 4.2942 0
-0.568236 4.3032 0
-0.568236 4.3122 0
-0.568236 4.3212 0
-0.559236 3.4752 0
-0.559236 3.4842 0
-0.559236 3.4932 0
-0.559236 3.5022 0
-0.559236 3.5112 0
-0.559236 3.5202 0
-0.559236 3.5292 0
-0.559236 3.5382 0
-0.559236 3.5472 0
-0.559236 3.5562 0
-0.559236 3.5652 0
-0.559236 3.5742 0
-0.559236 3.5832 0
-0.559236 3.5922 0
-0.559236 3.6012 0
-0.559236 3.6102 0
-0.559236 3.6192 0
-0.559236 3.6282 0
-0.559236 3.6372 0
-0.559236 3.6462 0
-0.559236 3.6552 0
-0.559236 3.6642 0
-0.559236 3.6732 0
-0.559236 3.6822 0
-0.559236 3.6912 0
-0.559236 3.7002 0
-0.559236 3.7092 0
-0.559236 3.7182 0
-0.559236 3.7272 0
-0.559236 3.7362 0
-0.559236 3.7452 0
-0.559236 3.7542 0
-0.559236 3.7632 0
-0.559236 3.7722 0
-0.559236 3.7812 0
-0.559236 3.7902 0
-0.559236 3.7992 0
-0.559236 3.8082 0
-0.559236 3.8172 0
-0.559236 3.8262 0
-0.559236 3.8352 0
-0.559236 3.8442 0
-0.559236 3.8532 0
-0.559236 3.8622 0
-0.559236 3.8712 0
-0.559236 3.8802 0
-0.559236 3.8892 0
-0.559236 3.8982 0
-0.559236 3.9072 0
-0.559236 3.9162 0
-0.559236 3.9252 0
-0.559236 3.9342 0
-0.559236 3.9432 0
-0.559236 3.9522 0
-0.559236 3.9612 0
-0.559236 3.9702 0
-0.559236 3.9792 0
-0.559236 3.9882 0
-0.559236 3.9972 0
-0.559236 4.0062 0
-0.559236 4.0152 0
-0.559236 4.0242 0
-0.559236 4.0332 0
-0.559236 4.0422 0
-0.559236 4.0512 0
-0.559236 4.0602 0
-0.559236 4.0692 0
-0.559236 4.0782 0
-0.559236 4.0872 0
-0.559236 4.0962 0
-0.559236 4.1052 0
-0.559236 4.1142 0
-0.559236 4.1232 0
-0.559236 4.1322 0
-0.559236 4.1412 0
-0.559236 4.1502 0
-0.559236 4.1592 0
-0.559236 4.1682 0
-0.559236 4.1772 0
-0.559236 4.1862 0
-0.559236 4.1952 0
-0.559236 4.2042 0
-0.559236 4.2132 0
-0.559236 4.2222 0
-0.559236 4.2312 0
-0.559236 4.2402 0
-0.559236 4.2492 0
-0.559236 4.2582 0
-0.559236 4.2672 0
-0.559236 4.2762 0
-0.559236 4.2852 0
-0.559236 4.2942 0
-0.559236 4.3032 0
-0.559236 4.3122 0
-0.559236 4.3212 0
-0.550236 3.4752 0
-0.550236 3.4842 0
-0.550236 3.4932 0
-0.550236 3.5022 0
-0.550236 3.5112 0
-0.550236 3.5202 0
-0.550236 3.5292 0
-0.550236 3.5382 0
-0.550236 3.5472 0
-0.550236 3.5562 0
-0.550236 3.5652 0
-0.550236 3.5742 0
-0.550236 3.5832 0
-0.550236 3.5922 0
-0.550236 3.6012 0
-0.550236 3.6102 0
-0.550236 3.6192 0
-0.550236 3.6282 0
-0.550236 3.6372 0
-0.550236 3.6462 0
-0.550236 3.6552 0
-0.550236 3.6642 0
-0.550236 3.6732 0
-0.550236 3.6822 0
-0.550236 3.6912 0
-0.550236 3.7002 0
-0.550236 3.7092 0
-0.550236 3.7182 0
-0.550236 3.7272 0
-0.550236 3.7362 0
-0.550236 3.7452 0
