101 85
-0.648557 -3.55406 0
-0.648557 -3.54406 0
-0.648557 -3.53406 0
-0.648557 -3.52406 0
-0.648557 -3.51406 0
-0.648557 -3.50406 0
-0.648557 -3.49406 0
-0.648557 -3.48406 0
-0.648557 -3.47406 0
-0.648557 -3.46406 0
-0.648557 -3.45406 0
-0.648557 -3.44406 0
-0.638557 -4.28406 0
-0.638557 -4.27406 0
-0.638557 -4.26406 0
-0.638557 -4.25406 0
-0.638557 -4.24406 0
-0.638557 -4.23406 0
-0.638557 -4.22406 0
-0.638557 -4.21406 0
-0.638557 -4.20406 0
-0.638557 -4.19406 0
-0.638557 -4.18406 0
-0.638557 -4.17406 0
-0.638557 -4.16406 0
-0.638557 -4.15406 0
-0.638557 -4.14406 0
-0.638557 -4.13406 0
-0.638557 -4.12406 0
-0.638557 -4.11406 0
-0.638557 -4.10406 0
-0.638557 -4.09406 0
-0.638557 -4.08406 0
-0.638557 -4.07406 0
-0.638557 -4.06406 0
-0.638557 -4.05406 0
-0.638557 -4.04406 0
-0.638557 -4.03406 0
-0.638557 -4.02406 0
-0.638557 -4.01406 1
-0.638557 -4.00406 0
-0.638557 -3.99406 0
-0.638557 -3.98406 0
-0.638557 -3.97406 0
-0.638557 -3.96406 0
-0.638557 -3.95406 1
-0.638557 -3.94406 0
-0.638557 -3.93406 0
-0.638557 -3.92406 0
-0.638557 -3.91406 0
-0.638557 -3.90406 0
-0.638557 -3.89406 0
-0.638557 -3.88406 0
-0.638557 -3.87406 0
-0.638557 -3.86406 0
-0.638557 -3.85406 0
-0.638557 -3.84406 0
-0.638557 -3.83406 0
-0.638557 -3.82406 0
-0.638557 -3.81406 0
-0.638557 -3.80406 0
-0.638557 -3.79406 0
-0.638557 -3.78406 0
-0.638557 -3.77406 0
-0.638557 -3.76406 0
-0.638557 -3.75406 0
-0.638557 -3.74406 0
-0.638557 -3.73406 0
-0.638557 -3.72406 0
-0.638557 -3.71406 0
-0.638557 -3.70406 0
-0.638557 -3.69406 0
-0.638557 -3.68406 0
-0.638557 -3.67406 0
-0.638557 -3.66406 0
-0.638557 -3.65406 0
-0.638557 -3.64406 0
-0.638557 -3.63406 0
-0.638557 -3.62406 0
-0.638557 -3.61406 0
-0.638557 -3.60406 0
-0.638557 -3.59406 0
-0.638557 -3.58406 0
-0.638557 -3.57406 0
-0.638557 -3.56406 0
-0.638557 -3.55406 0
-0.638557 -3.54406 0
-0.638557 -3.53406 0
-0.638557 -3.52406 0
-0.638557 -3.51406 0
-0.638557 -3.50406 0
-0.638557 -3.49406 0
-0.638557 -3.48406 0
-0.638557 -3.47406 0
-0.638557 -3.46406 0
-0.638557 -3.45406 0
-0.638557 -3.44406 0
-0.628557 -4.28406 0
-0.628557 -4.27406 0
-0.628557 -4.26406 0
-0.628557 -4.25406 0
-0.628557 -4.24406 0
-0.628557 -4.23406 0
-0.628557 -4.22406 0
-0.628557 -4.21406 0
-0.628557 -4.20406 0
-0.628557 -4.19406 0
-0.628557 -4.18406 0
-0.628557 -4.17406 0
-0.628557 -4.16406 0
-0.628557 -4.15406 0
-0.628557 -4.14406 0
-0.628557 -4.13406 0
-0.628557 -4.12406 0
-0.628557 -4.11406 0
-0.628557 -4.10406 0
-0.628557 -4.09406 0
-0.628557 -4.08406 0
-0.628557 -4.07406 0
-0.628557 -4.06406 0
-0.628557 -4.05406 0
-0.628557 -4.04406 0
-0.628557 -4.03406 0
-0.628557 -4.02406 0
-0.628557 -4.01406 0
-0.628557 -4.00406 0
-0.628557 -3.99406 1
-0.628557 -3.98406 1
-0.628557 -3.97406 1
-0.628557 -3.96406 1
-0.628557 -3.95406 1
-0.628557 -3.94406 0
-0.628557 -3.93406 0
-0.628557 -3.92406 0
-0.628557 -3.91406 0
-0.628557 -3.90406 0
-0.628557 -3.89406 0
-0.628557 -3.88406 0
-0.628557 -3.87406 0
-0.628557 -3.86406 0
-0.628557 -3.85406 0
-0.628557 -3.84406 0
-0.628557 -3.83406 0
-0.628557 -3.82406 0
-0.628557 -3.81406 0
-0.628557 -3.80406 0
-0.628557 -3.79406 0
-0.628557 -3.78406 0
-0.628557 -3.77406 0
-0.628557 -3.76406 0
-0.628557 -3.75406 0
-0.628557 -3.74406 0
-0.628557 -3.73406 0
-0.628557 -3.72406 0
-0.628557 -3.71406 0
-0.628557 -3.70406 0
-0.628557 -3.69406 0
-0.628557 -3.68406 0
-0.628557 -3.67406 0
-0.628557 -3.66406 0
-0.628557 -3.65406 0
-0.628557 -3.64406 0
-0.628557 -3.63406 0
-0.628557 -3.62406 0
-0.628557 -3.61406 0
-0.628557 -3.60406 0
-0.628557 -3.59406 0
-0.628557 -3.58406 0
-0.628557 -3.57406 0
-0.628557 -3.56406 0
-0.628557 -3.55406 0
-0.628557 -3.54406 0
-0.628557 -3.53406 0
-0.628557 -3.52406 0
-0.628557 -3.51406 0
-0.628557 -3.50406 0
-0.628557 -3.49406 0
-0.628557 -3.48406 0
-0.628557 -3.47406 0
-0.628557 -3.46406 0
-0.628557 -3.45406 0
-0.628557 -3.44406 0
-0.618557 -4.28406 0
-0.618557 -4.27406 0
-0.618557 -4.26406 0
-0.618557 -4.25406 0
-0.618557 -4.24406 0
-0.618557 -4.23406 0
-0.618557 -4.22406 0
-0.618557 -4.21406 0
-0.618557 -4.20406 0
-0.618557 -4.19406 0
-0.618557 -4.18406 0
-0.618557 -4.17406 0
-0.618557 -4.16406 0
-0.618557 -4.15406 0
-0.618557 -4.14406 0
-0.618557 -4.13406 0
-0.618557 -4.12406 0
-0.618557 -4.11406 0
-0.618557 -4.10406 0
-0.618557 -4.09406 0
-0.618557 -4.08406 0
-0.618557 -4.07406 0
-0.618557 -4.06406 0
-0.618557 -4.05406 0
-0.618557 -4.04406 0
-0.618557 -4.03406 0
-0.618557 -4.02406 0
-0.618557 -4.01406 0
-0.618557 -4.00406 1
-0.618557 -3.99406 1
-0.618557 -3.98406 1
-0.618557 -3.97406 0
-0.618557 -3.96406 1
-0.618557 -3.95406 1
-0.618557 -3.94406 0
-0.618557 -3.93406 0
-0.618557 -3.92406 0
-0.618557 -3.91406 0
-0.618557 -3.90406 0
-0.618557 -3.89406 0
-0.618557 -3.88406 0
-0.618557 -3.87406 0
-0.618557 -3.86406 0
-0.618557 -3.85406 0
-0.618557 -3.84406 0
-0.618557 -3.83406 0
-0.618557 -3.82406 0
-0.618557 -3.81406 0
-0.618557 -3.80406 0
-0.618557 -3.79406 0
-0.618557 -3.78406 0
-0.618557 -3.77406 0
-0.618557 -3.76406 0
-0.618557 -3.75406 0
-0.618557 -3.74406 0
-0.618557 -3.73406 0
-0.618557 -3.72406 0
-0.618557 -3.71406 0
-0.618557 -3.70406 0
-0.618557 -3.69406 0
-0.618557 -3.68406 0
-0.618557 -3.67406 0
-0.618557 -3.66406 0
-0.618557 -3.65406 0
-0.618557 -3.64406 0
-0.618557 -3.63406 0
-0.618557 -3.62406 0
-0.618557 -3.61406 0
-0.618557 -3.60406 0
-0.618557 -3.59406 0
-0.618557 -3.58406 0
-0.618557 -3.57406 0
-0.618557 -3.56406 0
-0.618557 -3.55406 0
-0.618557 -3.54406 0
-0.618557 -3.53406 0
-0.618557 -3.52406 0
-0.618557 -3.51406 0
-0.618557 -3.50406 0
-0.618557 -3.49406 0
-0.618557 -3.48406 0
-0.618557 -3.47406 0
-0.618557 -3.46406 0
-0.618557 -3.45406 0
-0.618557 -3.44406 0
-0.608557 -4.28406 0
-0.608557 -4.27406 0
-0.608557 -4.26406 0
-0.608557 -4.25406 0
-0.608557 -4.24406 0
-0.608557 -4.23406 0
-0.608557 -4.22406 0
-0.608557 -4.21406 0
-0.608557 -4.20406 0
-0.608557 -4.19406 0
-0.608557 -4.18406 0
-0.608557 -4.17406 0
-0.608557 -4.16406 0
-0.608557 -4.15406 0
-0.608557 -4.14406 0
-0.608557 -4.13406 0
-0.608557 -4.12406 0
-0.608557 -4.11406 0
-0.608557 -4.10406 0
-0.608557 -4.09406 0
-0.608557 -4.08406 0
-0.608557 -4.07406 0
-0.608557 -4.06406 0
-0.608557 -4.05406 0
-0.608557 -4.04406 0
-0.608557 -4.03406 0
-0.608557 -4.02406 0
-0.608557 -4.01406 0
-0.608557 -4.00406 1
-0.608557 -3.99406 1
-0.608557 -3.98406 0
-0.608557 -3.97406 0
-0.608557 -3.96406 1
-0.608557 -3.95406 1
-0.608557 -3.94406 0
-0.608557 -3.93406 0
-0.608557 -3.92406 0
-0.608557 -3.91406 0
-0.608557 -3.90406 0
-0.608557 -3.89406 0
-0.608557 -3.88406 0
-0.608557 -3.87406 0
-0.608557 -3.86406 0
-0.608557 -3.85406 0
-0.608557 -3.84406 0
-0.608557 -3.83406 0
-0.608557 -3.82406 0
-0.608557 -3.81406 0
-0.608557 -3.80406 0
-0.608557 -3.79406 0
-0.608557 -3.78406 0
-0.608557 -3.77406 0
-0.608557 -3.76406 0
-0.608557 -3.75406 0
-0.608557 -3.74406 0
-0.608557 -3.73406 0
-0.608557 -3.72406 0
-0.608557 -3.71406 0
-0.608557 -3.70406 0
-0.608557 -3.69406 0
-0.608557 -3.68406 0
-0.608557 -3.67406 0
-0.608557 -3.66406 0
-0.608557 -3.65406 0
-0.608557 -3.64406 0
-0.608557 -3.63406 0
-0.608557 -3.62406 0
-0.608557 -3.61406 0
-0.608557 -3.60406 0
-0.608557 -3.59406 0
-0.608557 -3.58406 0
-0.608557 -3.57406 0
-0.608557 -3.56406 0
-0.608557 -3.55406 0
-0.608557 -3.54406 0
-0.608557 -3.53406 0
-0.608557 -3.52406 0
-0.608557 -3.51406 0
-0.608557 -3.50406 0
-0.608557 -3.49406 0
-0.608557 -3.48406 0
-0.608557 -3.47406 0
-0.608557 -3.46406 0
-0.608557 -3.45406 0
-0.608557 -3.44406 0
-0.598557 -4.28406 0
-0.598557 -4.27406 0
-0.598557 -4.26406 0
-0.598557 -4.25406 0
-0.598557 -4.24406 0
-0.598557 -4.23406 0
-0.598557 -4.22406 0
-0.598557 -4.21406 0
-0.598557 -4.20406 0
-0.598557 -4.19406 0
-0.598557 -4.18406 0
-0.598557 -4.17406 0
-0.598557 -4.16406 0
-0.598557 -4.15406 0
-0.598557 -4.14406 0
-0.598557 -4.13406 0
-0.598557 -4.12406 0
-0.598557 -4.11406 0
-0.598557 -4.10406 0
-0.598557 -4.09406 0
-0.598557 -4.08406 0
-0.598557 -4.07406 0
-0.598557 -4.06406 0
-0.598557 -4.05406 0
-0.598557 -4.04406 0
-0.598557 -4.03406 0
-0.598557 -4.02406 0
-0.598557 -4.01406 0
-0.598557 -4.00406 0
-0.598557 -3.99406 0
-0.598557 -3.98406 1
-0.598557 -3.97406 0
-0.598557 -3.96406 1
-0.598557 -3.95406 1
-0.598557 -3.94406 0
-0.598557 -3.93406 0
-0.598557 -3.92406 0
-0.598557 -3.91406 0
-0.598557 -3.90406 0
-0.598557 -3.89406 0
-0.598557 -3.88406 0
-0.598557 -3.87406 0
-0.598557 -3.86406 0
-0.598557 -3.85406 0
-0.598557 -3.84406 0
-0.598557 -3.83406 0
-0.598557 -3.82406 0
-0.598557 -3.81406 0
-0.598557 -3.80406 0
-0.598557 -3.79406 0
-0.598557 -3.78406 0
-0.598557 -3.77406 0
-0.598557 -3.76406 0
-0.598557 -3.75406 0
-0.598557 -3.74406 0
-0.598557 -3.73406 0
-0.598557 -3.72406 0
-0.598557 -3.71406 0
-0.598557 -3.70406 0
-0.598557 -3.69406 0
-0.598557 -3.68406 0
-0.598557 -3.67406 0
-0.598557 -3.66406 0
-0.598557 -3.65406 0
-0.598557 -3.64406 0
-0.598557 -3.63406 0
-0.598557 -3.62406 0
-0.598557 -3.61406 0
-0.598557 -3.60406 0
-0.598557 -3.59406 0
-0.598557 -3.58406 0
-0.598557 -3.57406 0
-0.598557 -3.56406 0
-0.598557 -3.55406 0
-0.598557 -3.54406 0
-0.598557 -3.53406 0
-0.598557 -3.52406 0
-0.598557 -3.51406 0
-0.598557 -3.50406 0
-0.598557 -3.49406 0
-0.598557 -3.48406 0
-0.598557 -3.47406 0
-0.598557 -3.46406 0
-0.598557 -3.45406 0
-0.598557 -3.44406 0
-0.588557 -4.28406 0
-0.588557 -4.27406 0
-0.588557 -4.26406 0
-0.588557 -4.25406 0
-0.588557 -4.24406 0
-0.588557 -4.23406 0
-0.588557 -4.22406 0
-0.588557 -4.21406 0
-0.588557 -4.20406 0
-0.588557 -4.19406 0
-0.588557 -4.18406 0
-0.588557 -4.17406 0
-0.588557 -4.16406 0
-0.588557 -4.15406 0
-0.588557 -4.14406 0
-0.588557 -4.13406 0
-0.588557 -4.12406 0
-0.588557 -4.11406 0
-0.588557 -4.10406 0
-0.588557 -4.09406 0
-0.588557 -4.08406 0
-0.588557 -4.07406 0
-0.588557 -4.06406 0
-0.588557 -4.05406 0
-0.588557 -4.04406 0
-0.588557 -4.03406 0
-0.588557 -4.02406 0
-0.588557 -4.01406 0
-0.588557 -4.00406 1
-0.588557 -3.99406 1
-0.588557 -3.98406 0
-0.588557 -3.97406 0
-0.588557 -3.96406 1
-0.588557 -3.95406 1
-0.588557 -3.94406 0
-0.588557 -3.93406 0
-0.588557 -3.92406 0
-0.588557 -3.91406 0
-0.588557 -3.90406 0
-0.588557 -3.89406 0
-0.588557 -3.88406 0
-0.588557 -3.87406 0
-0.588557 -3.86406 0
-0.588557 -3.85406 0
-0.588557 -3.84406 0
-0.588557 -3.83406 0
-0.588557 -3.82406 0
-0.588557 -3.81406 0
-0.588557 -3.80406 0
-0.588557 -3.79406 0
-0.588557 -3.78406 0
-0.588557 -3.77406 0
-0.588557 -3.76406 0
-0.588557 -3.75406 0
-0.588557 -3.74406 0
-0.588557 -3.73406 0
-0.588557 -3.72406 0
-0.588557 -3.71406 0
-0.588557 -3.70406 0
-0.588557 -3.69406 0
-0.588557 -3.68406 0
-0.588557 -3.67406 0
-0.588557 -3.66406 0
-0.588557 -3.65406 0
-0.588557 -3.64406 0
-0.588557 -3.63406 0
-0.588557 -3.62406 0
-0.588557 -3.61406 0
-0.588557 -3.60406 0
-0.588557 -3.59406 0
-0.588557 -3.58406 0
-0.588557 -3.57406 0
-0.588557 -3.56406 0
-0.588557 -3.55406 0
-0.588557 -3.54406 0
-0.588557 -3.53406 0
-0.588557 -3.52406 0
-0.588557 -3.51406 0
-0.588557 -3.50406 0
-0.588557 -3.49406 0
-0.588557 -3.48406 0
-0.588557 -3.47406 0
-0.588557 -3.46406 0
-0.588557 -3.45406 0
-0.588557 -3.44406 0
-0.578557 -4.28406 0
-0.578557 -4.27406 0
-0.578557 -4.26406 0
-0.578557 -4.25406 0
-0.578557 -4.24406 0
-0.578557 -4.23406 0
-0.578557 -4.22406 0
-0.578557 -4.21406 0
-0.578557 -4.20406 0
-0.578557 -4.19406 0
-0.578557 -4.18406 0
-0.578557 -4.17406 0
-0.578557 -4.16406 0
-0.578557 -4.15406 0
-0.578557 -4.14406 0
-0.578557 -4.13406 0
-0.578557 -4.12406 0
-0.578557 -4.11406 0
-0.578557 -4.10406 0
-0.578557 -4.09406 0
-0.578557 -4.08406 0
-0.578557 -4.07406 0
-0.578557 -4.06406 0
-0.578557 -4.05406 0
-0.578557 -4.04406 0
-0.578557 -4.03406 0
-0.578557 -4.02406 0
-0.578557 -4.01406 0
-0.578557 -4.00406 1
-0.578557 -3.99406 0
-0.578557 -3.98406 1
-0.578557 -3.97406 0
-0.578557 -3.96406 1
-0.578557 -3.95406 1
-0.578557 -3.94406 0
-0.578557 -3.93406 0
-0.578557 -3.92406 0
-0.578557 -3.91406 0
-0.578557 -3.90406 0
-0.578557 -3.89406 0
-0.578557 -3.88406 0
-0.578557 -3.87406 0
-0.578557 -3.86406 0
-0.578557 -3.85406 0
-0.578557 -3.84406 0
-0.578557 -3.83406 0
-0.578557 -3.82406 0
-0.578557 -3.81406 0
-0.578557 -3.80406 0
-0.578557 -3.79406 0
-0.578557 -3.78406 0
-0.578557 -3.77406 0
-0.578557 -3.76406 0
-0.578557 -3.75406 0
-0.578557 -3.74406 0
-0.578557 -3.73406 0
-0.578557 -3.72406 0
-0.578557 -3.71406 0
-0.578557 -3.70406 0
-0.578557 -3.69406 0
-0.578557 -3.68406 0
-0.578557 -3.67406 0
-0.578557 -3.66406 0
-0.578557 -3.65406 0
-0.578557 -3.64406 0
-0.578557 -3.63406 0
-0.578557 -3.62406 0
-0.578557 -3.61406 0
-0.578557 -3.60406 0
-0.578557 -3.59406 0
-0.578557 -3.58406 0
-0.578557 -3.57406 0
-0.578557 -3.56406 0
-0.578557 -3.55406 0
-0.578557 -3.54406 0
-0.578557 -3.53406 0
-0.578557 -3.52406 0
-0.578557 -3.51406 0
-0.578557 -3.50406 0
-0.578557 -3.49406 0
-0.578557 -3.48406 0
-0.578557 -3.47406 0
-0.578557 -3.46406 0
-0.578557 -3.45406 0
-0.578557 -3.44406 0
-0.568557 -4.28406 0
-0.568557 -4.27406 0
-0.568557 -4.26406 0
-0.568557 -4.25406 0
-0.568557 -4.24406 0
-0.568557 -4.23406 0
-0.568557 -4.22406 0
-0.568557 -4.21406 0
-0.568557 -4.20406 0
-0.568557 -4.19406 0
-0.568557 -4.18406 0
-0.568557 -4.17406 0
-0.568557 -4.16406 0
-0.568557 -4.15406 0
-0.568557 -4.14406 0
-0.568557 -4.13406 0
-0.568557 -4.12406 0
-0.568557 -4.11406 0
-0.568557 -4.10406 0
-0.568557 -4.09406 0
-0.568557 -4.08406 0
-0.568557 -4.07406 0
-0.568557 -4.06406 0
-0.568557 -4.05406 0
-0.568557 -4.04406 0
-0.568557 -4.03406 0
-0.568557 -4.02406 0
-0.568557 -4.01406 0
-0.568557 -4.00406 0
-0.568557 -3.99406 0
-0.568557 -3.98406 0
-0.568557 -3.97406 0
-0.568557 -3.96406 0
-0.568557 -3.95406 0
-0.568557 -3.94406 0
-0.568557 -3.93406 0
-0.568557 -3.92406 0
-0.568557 -3.91406 0
-0.568557 -3.90406 0
-0.568557 -3.89406 0
-0.568557 -3.88406 0
-0.568557 -3.87406 0
-0.568557 -3.86406 0
-0.568557 -3.85406 0
-0.568557 -3.84406 0
-0.568557 -3.83406 0
-0.568557 -3.82406 0
-0.568557 -3.81406 0
-0.568557 -3.80406 0
-0.568557 -3.79406 0
-0.568557 -3.78406 0
-0.568557 -3.77406 0
-0.568557 -3.76406 0
-0.568557 -3.75406 0
-0.568557 -3.74406 0
-0.568557 -3.73406 0
-0.568557 -3.72406 0
-0.568557 -3.71406 0
-0.568557 -3.70406 0
-0.568557 -3.69406 0
-0.568557 -3.68406 0
-0.568557 -3.67406 0
-0.568557 -3.66406 0
-0.568557 -3.65406 0
-0.568557 -3.64406 0
-0.568557 -3.63406 0
-0.568557 -3.62406 0
-0.568557 -3.61406 0
-0.568557 -3.60406 0
-0.568557 -3.59406 0
-0.568557 -3.58406 0
-0.568557 -3.57406 0
-0.568557 -3.56406 0
-0.568557 -3.55406 0
-0.568557 -3.54406 0
-0.568557 -3.53406 0
-0.568557 -3.52406 0
-0.568557 -3.51406 0
-0.568557 -3.50406 0
-0.568557 -3.49406 0
-0.568557 -3.48406 0
-0.568557 -3.47406 0
-0.568557 -3.46406 0
-0.568557 -3.45406 0
-0.568557 -3.44406 0
-0.558557 -4.28406 0
-0.558557 -4.27406 0
-0.558557 -4.26406 0
-0.558557 -4.25406 0
-0.558557 -4.24406 0
-0.558557 -4.23406 0
-0.558557 -4.22406 0
-0.558557 -4.21406 0
-0.558557 -4.20406 0
-0.558557 -4.19406 0
-0.558557 -4.18406 0
-0.558557 -4.17406 0
-0.558557 -4.16406 0
-0.558557 -4.15406 0
-0.558557 -4.14406 0
-0.558557 -4.13406 0
-0.558557 -4.12406 0
-0.558557 -4.11406 0
-0.558557 -4.10406 0
-0.558557 -4.09406 0
-0.558557 -4.08406 0
-0.558557 -4.07406 0
-0.558557 -4.06406 0
-0.558557 -4.05406 0
-0.558557 -4.04406 0
-0.558557 -4.03406 0
-0.558557 -4.02406 0
-0.558557 -4.01406 0
-0.558557 -4.00406 0
-0.558557 -3.99406 0
-0.558557 -3.98406 0
-0.558557 -3.97406 0
-0.558557 -3.96406 0
-0.558557 -3.95406 0
-0.558557 -3.94406 0
-0.558557 -3.93406 0
-0.558557 -3.92406 0
-0.558557 -3.91406 0
-0.558557 -3.90406 0
-0.558557 -3.89406 0
-0.558557 -3.88406 0
-0.558557 -3.87406 0
-0.558557 -3.86406 0
-0.558557 -3.85406 0
-0.558557 -3.84406 0
-0.558557 -3.83406 0
-0.558557 -3.82406 0
-0.558557 -3.81406 0
-0.558557 -3.80406 0
-0.558557 -3.79406 0
-0.558557 -3.78406 0
-0.558557 -3.77406 0
-0.558557 -3.76406 0
-0.558557 -3.75406 0
-0.558557 -3.74406 0
-0.558557 -3.73406 0
-0.558557 -3.72406 0
-0.558557 -3.71406 0
-0.558557 -3.70406 0
-0.558557 -3.69406 0
-0.558557 -3.68406 0
-0.558557 -3.67406 0
-0.558557 -3.66406 0
-0.558557 -3.65406 0
-0.558557 -3.64406 0
-0.558557 -3.63406 0
-0.558557 -3.62406 0
-0.558557 -3.61406 0
-0.558557 -3.60406 0
-0.558557 -3.59406 0
-0.558557 -3.58406 0
-0.558557 -3.57406 0
-0.558557 -3.56406 0
-0.558557 -3.55406 0
-0.558557 -3.54406 0
-0.558557 -3.53406 0
-0.558557 -3.52406 0
-0.558557 -3.51406 0
-0.558557 -3.50406 0
-0.558557 -3.49406 0
-0.558557 -3.48406 0
-0.558557 -3.47406 0
-0.558557 -3.46406 0
-0.558557 -3.45406 0
-0.558557 -3.44406 0
-0.548557 -4.28406 0
-0.548557 -4.27406 0
-0.548557 -4.26406 0
-0.548557 -4.25406 0
-0.548557 -4.24406 0
-0.548557 -4.23406 0
-0.548557 -4.22406 0
-0.548557 -4.21406 0
-0.548557 -4.20406 0
-0.548557 -4.19406 0
-0.548557 -4.18406 0
-0.548557 -4.17406 0
-0.548557 -4.16406 0
-0.548557 -4.15406 0
-0.548557 -4.14406 0
-0.548557 -4.13406 0
-0.548557 -4.12406 0
-0.548557 -4.11406 0
-0.548557 -4.10406 0
-0.548557 -4.09406 0
-0.548557 -4.08406 0
-0.548557 -4.07406 0
-0.548557 -4.06406 0
-0.548557 -4.05406 0
-0.548557 -4.04406 0
-0.548557 -4.03406 0
-0.548557 -4.02406 0
-0.548557 -4.01406 0
-0.548557 -4.00406 0
-0.548557 -3.99406 0
-0.548557 -3.98406 0
-0.548557 -3.97406 0
-0.548557 -3.96406 0
-0.548557 -3.95406 0
-0.548557 -3.94406 0
-0.548557 -3.93406 0
-0.548557 -3.92406 0
-0.548557 -3.91406 0
-0.548557 -3.90406 0
-0.548557 -3.89406 0
-0.548557 -3.88406 0
-0.548557 -3.87406 0
-0.548557 -3.86406 0
-0.548557 -3.85406 0
-0.548557 -3.84406 0
-0.548557 -3.83406 0
-0.548557 -3.82406 0
-0.548557 -3.81406 0
-0.548557 -3.80406 0
-0.548557 -3.79406 0
-0.548557 -3.78406 0
-0.548557 -3.77406 0
-0.548557 -3.76406 0
-0.548557 -3.75406 0
-0.548557 -3.74406 0
-0.548557 -3.73406 0
-0.548557 -3.72406 0
-0.548557 -3.71406 0
-0.548557 -3.70406 0
-0.548557 -3.69406 0
-0.548557 -3.68406 0
-0.548557 -3.67406 0
-0.548557 -3.66406 0
-0.548557 -3.65406 0
-0.548557 -3.64406 0
-0.548557 -3.63406 0
-0.548557 -3.62406 0
-0.548557 -3.61406 0
-0.548557 -3.60406 0
-0.548557 -3.59406 0
-0.548557 -3.58406 0
-0.548557 -3.57406 0
-0.548557 -3.56406 0
-0.548557 -3.55406 0
-0.548557 -3.54406 0
-0.548557 -3.53406 0
-0.548557 -3.52406 0
-0.548557 -3.51406 0
-0.548557 -3.50406 0
-0.548557 -3.49406 0
-0.548557 -3.48406 0
-0.548557 -3.47406 0
-0.548557 -3.46406 0
-0.548557 -3.45406 0
-0.548557 -3.44406 0
-0.538557 -4.28406 0
-0.538557 -4.27406 0
-0.538557 -4.26406 0
-0.538557 -4.25406 0
-0.538557 -4.24406 0
-0.538557 -4.23406 0
-0.538557 -4.22406 0
-0.538557 -4.21406 0
-0.538557 -4.20406 0
-0.538557 -4.19406 0
-0.538557 -4.18406 0
-0.538557 -4.17406 0
-0.538557 -4.16406 0
-0.538557 -4.15406 0
-0.538557 -4.14406 0
-0.538557 -4.13406 0
-0.538557 -4.12406 0
-0.538557 -4.11406 0
-0.538557 -4.10406 0
-0.538557 -4.09406 0
-0.538557 -4.08406 0
-0.538557 -4.07406 0
-0.538557 -4.06406 0
-0.538557 -4.05406 0
-0.538557 -4.04406 0
-0.538557 -4.03406 0
-0.538557 -4.02406 0
-0.538557 -4.01406 0
-0.538557 -4.00406 0
-0.538557 -3.99406 0
-0.538557 -3.98406 0
-0.538557 -3.97406 0
-0.538557 -3.96406 0
-0.538557 -3.95406 0
-0.538557 -3.94406 0
-0.538557 -3.93406 0
-0.538557 -3.92406 0
-0.538557 -3.91406 0
-0.538557 -3.90406 0
-0.538557 -3.89406 0
-0.538557 -3.88406 0
-0.538557 -3.87406 0
-0.538557 -3.86406 0
-0.538557 -3.85406 0
-0.538557 -3.84406 0
-0.538557 -3.83406 0
-0.538557 -3.82406 0
-0.538557 -3.81406 0
-0.538557 -3.80406 0
-0.538557 -3.79406 0
-0.538557 -3.78406 0
-0.538557 -3.77406 0
-0.538557 -3.76406 0
-0.538557 -3.75406 0
-0.538557 -3.74406 0
-0.538557 -3.73406 0
-0.538557 -3.72406 0
-0.538557 -3.71406 0
-0.538557 -3.70406 0
-0.538557 -3.69406 0
-0.538557 -3.68406 0
-0.538557 -3.67406 0
-0.538557 -3.66406 0
-0.538557 -3.65406 0
